Value,Description,remember,understand,apply,analyze,evaluate,create
Respect for humanity & environment,"Core principle for all interactions and sustainability",1,0,1,1,0,0
Honesty,"Uphold and defend the truth at all times. Foundation for academic and professional integrity",0,0,1,0,1,0
Justice and fairness,"In dealing with others. Essential for equitable learning environments",0,1,1,1,1,0
Hard work,"For self-reliance. Basis for achievement and perseverance",1,0,0,1,1,0
Integrity,"Moral uprightness and sound character. Professional and personal ethics foundation",0,1,1,1,1,0
Creativity and innovativeness,"Driving forces for progress and problem-solving",1,1,1,1,1,1
Social Responsibility,"Accountability to community and society",0,0,1,1,1,1
Social Harmony,"Peaceful coexistence and collaboration",1,1,1,1,1,1
National Unity,"Collective identity and purpose",0,1,1,0,1,0
National Consciousness & patriotism,"Pride and contribution to national development",0,1,1,1,1,1
Self-assured individuals,"Demonstrate self-motivation, self-management, and self-esteem. Know their own preferences, strengths, and limitations. Adjust behavior and language appropriately to different social situations. Relate well to a range of personality types",0,1,1,1,1,0
Responsible & patriotic citizens,"Cherish the values promoted in the curriculum. Promote equity, indigenous cultures, and languages. Appreciate other people's cultures. Apply environmental and health awareness in decision-making. Have positive identity as individuals and global citizens. Are motivated to contribute to personal, community, and national well-being",0,1,1,1,1,1
Lifelong learners,"Can plan, reflect, and direct their own learning. Actively seek lifelong learning opportunities for personal/professional development",0,1,1,1,1,1
Positive contributors to society,"Have acquired and can apply Generic Skills. Demonstrate understanding of emerging societal and economic needs. Understand how to design, make, and critically evaluate products/processes. Appreciate the physical, biological, and technological world. Make informed decisions about sustainable development and its impact",0,1,1,1,1,1
Critical Thinking & Problem-Solving,"Plan and carry out investigations. Sort and analyze information. Identify problems and ways forward. Predict outcomes and make reasoned decisions. Evaluate different solutions",0,0,1,1,1,1
Co-operation & Self-directed Learning,"Work effectively in diverse teams. Interact effectively with others. Take responsibility for own learning. Work independently with persistence. Manage goals and time",0,1,1,1,1,1
Creativity and Innovation,"Use imagination to explore possibilities. Work with others to generate ideas. Suggest and develop new solutions. Try innovative alternatives. Look for patterns and make generalizations",0,1,1,1,1,1
Mathematical Computation & ICT,"Use numbers and measurements accurately. Interpret and interrogate mathematical data. Use mathematics to justify and support decisions. Use technology to create, manipulate, and process information. Use technology to collaborate, communicate, and refine work",0,1,1,1,1,1
Communication,"Listen attentively and with comprehension. Talk confidently and explain ideas/opinions clearly. Read accurately and fluently. Write and present coherently. Use a range of media to communicate ideas",0,1,1,1,1,1
Environmental Awareness,"Concern for protection of environment and climate change. Sustainable development understanding. Resource management principles",0,1,1,1,1,1
Health Awareness,"Understanding major health challenges. HIV/AIDS prevention knowledge. Sanitation and hygiene standards. Reproductive health awareness",0,1,1,1,1,0
Socio-economic Issues,"Poverty alleviation strategies. Unemployment solutions. Economic development understanding. Energy generation and supply management. Population growth management",0,1,1,1,1,1
Citizenship & Patriotism,"Participation in fair and inclusive society. Understanding diversity and interdependence. Equality and justice principles. Democracy and active participation. Rights and fair treatment awareness",0,1,1,1,1,1
Mixed Abilities & Inclusion,"Gender mainstreaming. Integration of people with special learning needs. Acceptance of different learning capabilities. Universal design for learning principles",0,1,1,1,1,1
Decision Making,"Make informed decisions",0,1,1,1,1,1
Healthy Behaviors,"Practice healthy behaviors",0,1,1,0,1,0
Risk Assessment,"Recognize and assess risky situations. Avoid risky situations",0,1,1,1,1,0
Attitude Change,"Develop positive attitudes for good citizenship",0,1,1,1,1,1
Active & Constructive Life,"Be active and constructive in life",0,1,1,1,1,1
Problem Solving,"Solve problems in different situations",0,1,1,1,1,1
Stress Management,"Cope with stress and control emotions",0,1,1,1,1,1
