Value,Description
Respect for humanity & environment,"Demonstrating respect for all people and living things by acting responsibly, valuing human dignity, and protecting the natural environment. Includes sustainability, care for shared resources, and ethical interaction with others."
Honesty,"Upholding truthfulness in words and actions, being transparent, trustworthy, and accountable. Includes academic honesty, ethical conduct, and refusing to engage in deception or corruption."
Justice and fairness,"Treating others equitably and impartially, respecting rights, and making fair decisions. Includes promoting equality, inclusion, and fairness in learning, leadership, and community interactions."
Hard work,"Demonstrating perseverance, diligence, and commitment to tasks in order to achieve personal and collective goals. Includes self-reliance, discipline, and sustained effort despite challenges."
Integrity,"Exhibiting moral uprightness, strong ethical principles, and consistency between values and actions. Includes responsible decision-making, professionalism, and ethical leadership."
Creativity and innovativeness,"Using imagination and original thinking to generate new ideas, approaches, or solutions. Includes innovation, experimentation, and applying creativity to solve real-world problems."
Social Responsibility,"Acting with accountability toward the community and society by contributing positively to social well-being. Includes civic duty, community service, and responsible social behavior."
Social Harmony,"Promoting peaceful coexistence, mutual respect, cooperation, and positive relationships within diverse communities. Includes conflict resolution, teamwork, and appreciation of diversity."
National Unity,"Fostering a sense of collective identity, shared purpose, and cohesion among citizens. Includes valuing diversity while working together for national development."
National Consciousness & patriotism,"Demonstrating pride in national identity and actively contributing to national growth and development. Includes appreciation of national values, culture, and civic responsibility."
Self-assured individuals,"Demonstrating self-confidence, self-awareness, and self-management. Includes understanding personal strengths and limitations, adapting behavior to different social situations, and relating effectively with others."
Responsible & patriotic citizens,"Exhibiting responsible citizenship by promoting equity, cultural diversity, environmental stewardship, and health awareness. Includes active participation in community and national development as informed global citizens."
Lifelong learners,"Actively managing and directing one’s own learning through planning, reflection, and continuous skill development. Includes curiosity, adaptability, and commitment to personal and professional growth."
Positive contributors to society,"Applying knowledge and generic skills to address societal, economic, technological, and environmental challenges. Includes informed decision-making, sustainability awareness, and productive participation in society."
Critical Thinking & Problem-Solving,"Analyzing information, identifying problems, evaluating evidence, and making reasoned decisions. Includes investigating issues, comparing solutions, and predicting outcomes logically."
Co-operation & Self-directed Learning,"Working effectively with others while taking responsibility for one’s own learning. Includes teamwork, communication, independence, goal setting, and time management."
Creativity and Innovation,"Exploring possibilities through imagination, collaboration, and experimentation. Includes generating ideas, developing solutions, recognizing patterns, and applying innovative approaches."
Mathematical Computation & ICT,"Applying mathematical skills and digital technologies to interpret data, solve problems, justify decisions, and communicate information. Includes using ICT tools for collaboration and productivity."
Communication,"Expressing ideas clearly and confidently through listening, speaking, reading, writing, and media use. Includes effective verbal, written, and digital communication."
Environmental Awareness,"Demonstrating understanding of environmental protection, climate change, sustainable development, and responsible resource management."
Health Awareness,"Understanding major health issues and making informed decisions related to hygiene, disease prevention, reproductive health, and overall well-being."
Socio-economic Issues,"Understanding and addressing social and economic challenges such as poverty, unemployment, population growth, energy management, and sustainable economic development."
Citizenship & Patriotism,"Participating actively in a fair, inclusive, and democratic society. Includes understanding rights and responsibilities, respect for diversity, justice, and active civic engagement."
Mixed Abilities & Inclusion,"Promoting inclusive learning by valuing diversity, gender equity, and the integration of learners with different abilities and needs. Includes universal design for learning principles."
Decision Making,"Making informed and responsible choices by evaluating options, considering consequences, and selecting appropriate actions in personal and social contexts."
Healthy Behaviors,"Practicing behaviors that promote physical, mental, and emotional well-being, including hygiene, nutrition, exercise, and healthy lifestyle choices."
Risk Assessment,"Identifying, evaluating, and avoiding risky situations to ensure personal and community safety. Includes recognizing potential dangers and making preventive decisions."
Attitude Change,"Developing positive attitudes and values that support responsible citizenship, ethical behavior, and constructive participation in society."
Active & Constructive Life,"Engaging actively and positively in life through responsible actions, initiative, and meaningful contribution to personal and community development."
Problem Solving,Applying strategies and critical thinking to resolve challenges across different situations and contexts.
Stress Management,"Managing stress effectively and regulating emotions in challenging situations. Includes resilience, emotional control, and healthy coping strategies."
